회사명,종합등급,환경,사회,지배구조
AJ네트웍스,B+,C,B+,B+
AK홀딩스,B+,B,A,B
BGF,B+,A,A+,B
BGF리테일,A,A,A+,A
BNK금융지주,A,A,A,A
BYC,D,D,D,D
CJ,B+,B+,A,B+
CJ CGV,B+,B,B+,B+
CJ대한통운,B+,B+,A+,B
CJ씨푸드,B,C,B,B
CJ제일제당,A,A,A,B+
CS홀딩스,C,D,D,B
DB,B,D,B,B+
DB금융투자,B,C,B,B
DB손해보험,B+,B+,A,B+
DB하이텍,B,B,B+,B
DGB금융지주,A,A+,A+,A
DL,A,A,A+,A
DL건설,A,A,A,B+
DL이앤씨,A,A,A,A
DN오토모티브,C,C,D,B
DRB동일,C,D,B+,B
DSR,D,D,C,D
DSR제강,C,D,C,B
E1,B+,B+,B+,B+
ESR켄달스퀘어리츠,-,-,-,-
F&F,-,-,-,-
F&F 홀딩스,B,B,B+,B
GKL,A,B,A,A
GS,A,B+,A+,A
GS건설,A,A,A,A
GS글로벌,B+,C,B+,B+
GS리테일,A,B+,A,A
HDC,C,D,B,C
HDC랩스,D,D,D,D
HDC현대EP,C,C,B,C
HDC현대산업개발,C,D,C,B
HD한국조선해양,B+,B+,A,B+
HD현대,A,B+,A,A
HD현대건설기계,A,B+,A,A
HD현대마린엔진,C,D,B,B
HD현대미포,B+,B+,A,B+
HD현대에너지솔루션,A,A,A+,B+
HD현대인프라코어,B+,B+,A,B+
HD현대일렉트릭,B+,B+,A,B+
HD현대중공업,B+,B+,A,B+
HJ중공업,B,C,B+,B+
HL D&I,B+,B+,A,B+
HLB글로벌,D,D,C,D
HL만도,A,A,A,B+
HL홀딩스,B+,B+,A,B+
HMM,A,A+,A,B+
HS애드,B,D,B,B+
HS화성,B,C,B+,B
HS효성첨단소재,A,B+,A+,A
JB금융지주,A,A,A+,A
JW생명과학,C,C,B+,C
JW중외제약,C,B,B+,D
JW홀딩스,B+,C,B+,B+
KB금융,A+,A+,A+,A+
KC그린홀딩스,D,D,D,C
KC코트렐,D,D,D,C
KEC,C,C,D,C
KG스틸,C,B,B+,D
KG케미칼,D,D,D,D
KH 필룩스,D,D,C,D
KIB플러그에너지,D,D,C,D
KISCO홀딩스,C,C,D,C
KPX케미칼,D,C,C,D
KPX홀딩스,C,D,C,C
