컬럼_1,컬럼_2,컬럼_3,컬럼_4,컬럼_5,컬럼_6,컬럼_7,컬럼_8,컬럼_9,컬럼_10,컬럼_11,컬럼_12
AJ네트웍스,B+,C,B+,B+,-,-,-,-,-,,
AK홀딩스,B+,B,A,B,-,-,-,-,13,,
BGF,B+,A,A+,B,-,-,-,-,29,,
BGF리테일,A,A,A+,A,A,-,23,BBB,61,,
BNK금융지주,A,A,A,A,A,-,37,-,51,,
BYC,D,D,D,D,-,-,-,-,-,,
CJ,B+,B+,A,B+,A,-,14,A,42,,
CJ CGV,B+,B,B+,B+,-,-,-,-,19,,
CJ대한통운,B+,B+,A+,B,B+,-,39,-,63,,
CJ씨푸드,B,C,B,B,-,-,-,-,-,,
CJ제일제당,A,A,A,B+,S,-,36,AA,82,,
CS홀딩스,C,D,D,B,-,-,-,-,-,,
DB,B,D,B,B+,-,-,-,-,-,,
DB금융투자,B,C,B,B,-,-,-,-,12,,
DB손해보험,B+,B+,A,B+,B+,-,33,A,53,,
DB하이텍,B,B,B+,B,A,-,-,-,33,,
DGB금융지주,A,A+,A+,A,-,-,31,-,71,,
DL,A,A,A+,A,B+,-,20,-,47,,
DL건설,A,A,A,B+,-,-,-,-,-,,
DL이앤씨,A,A,A,A,A,-,-,-,68,,
DN오토모티브,C,C,D,B,-,-,-,-,-,,
DRB동일,C,D,B+,B,-,-,-,-,-,,
DSR,D,D,C,D,-,-,-,-,-,,
DSR제강,C,D,C,B,-,-,-,-,-,,
E1,B+,B+,B+,B+,-,-,-,-,-,,
ESR켄달스퀘어리츠,-,-,-,-,-,-,-,-,9,,
F&F,-,-,-,-,B,-,-,B,8,,
F&F 홀딩스,B,B,B+,B,-,-,-,-,32,,
GKL,A,B,A,A,B+,-,-,-,13,,
GS,A,B+,A+,A,B+,-,16,BBB,31,,
GS건설,A,A,A,A,A,-,32,-,57,,
GS글로벌,B+,C,B+,B+,-,-,-,-,12,,
GS리테일,A,B+,A,A,A,-,10,-,36,,
HDC,C,D,B,C,-,-,-,-,8,,
HDC랩스,D,D,D,D,-,-,-,-,-,,
HDC현대EP,C,C,B,C,-,-,-,-,6,,
HDC현대산업개발,C,D,C,B,B,-,12,-,9,,
HD한국조선해양,B+,B+,A,B+,B+,-,16,B,43,,
HD현대,A,B+,A,A,B+,-,13,BBB,40,,
HD현대건설기계,A,B+,A,A,-,-,23,-,41,,
HD현대마린엔진,C,D,B,B,-,-,-,-,-,,
HD현대미포,B+,B+,A,B+,A,-,27,BB,43,,
HD현대에너지솔루션,A,A,A+,B+,-,-,-,-,32,,
HD현대인프라코어,B+,B+,A,B+,A,-,27,-,51,,
HD현대일렉트릭,B+,B+,A,B+,-,-,-,-,43,,
HD현대중공업,B+,B+,A,B+,A,-,-,B,-,,
HJ중공업,B,C,B+,B+,-,-,-,-,-,,
HL D&I,B+,B+,A,B+,-,-,-,-,-,,
HLB글로벌,D,D,C,D,-,-,-,-,11,,
HL만도,A,A,A,B+,A,-,25,-,59,,
HL홀딩스,B+,B+,A,B+,-,-,-,-,43,,
HMM,A,A+,A,B+,A,-,-,BB,46,,
HS애드,B,D,B,B+,-,-,-,-,-,,
HS화성,B,C,B+,B,-,-,-,-,14,,
HS효성첨단소재,A,B+,A+,A,A+,-,-,-,52,,
JB금융지주,A,A,A+,A,-,-,-,-,70,,
JW생명과학,C,C,B+,C,-,-,-,-,25,,
JW중외제약,C,B,B+,D,-,-,-,-,23,,
JW홀딩스,B+,C,B+,B+,-,-,-,-,17,,
KB금융,A+,A+,A+,A+,A,-,37,AA,86,,
KC그린홀딩스,D,D,D,C,-,-,-,-,-,,
KC코트렐,D,D,D,C,-,-,-,-,-,,
KEC,C,C,D,C,-,-,-,-,-,,
KG스틸,C,B,B+,D,A,-,-,-,-,,
KG케미칼,D,D,D,D,-,-,-,-,9,,
KH 필룩스,D,D,C,D,-,-,-,-,-,,
KIB플러그에너지,D,D,C,D,-,-,-,-,-,,
KISCO홀딩스,C,C,D,C,-,-,-,-,-,,
KPX케미칼,D,C,C,D,-,-,-,-,-,,
KPX홀딩스,C,D,C,C,-,-,-,-,-,,
KR모터스,D,D,D,D,-,-,-,-,-,,
KSS해운,B+,B+,A,B+,-,-,-,-,-,,
KTcs,A,B+,A,A,-,-,-,-,-,,
KTis,B+,B+,B+,B+,-,-,-,-,-,,
LF,B,D,B,B+,-,-,-,-,8,,
LG,A,B+,A+,A,A,-,23,BB,52,,
LG디스플레이,A,A,A,B+,A+,-,47,AA,68,,
LG생활건강,A,A,A+,A,A,-,-,BBB,85,,
LG에너지솔루션,-,-,-,-,A+,-,-,BB,49,,
LG유플러스,A,A,B+,A,A,-,24,BBB,59,,
LG이노텍,A,A,A+,A,S,-,40,BB,69,,
LG전자,A,A,A+,A,A+,-,43,A,75,,
LG헬로비전,A,B,A,A,-,-,-,-,16,,
LG화학,B,C,A,B+,A,-,40,BBB,66,,
LIG넥스원,A,A,A+,A,A,-,-,-,27,,
LS,C,B+,A,C,B+,-,10,-,9,,
LS네트웍스,B,C,B+,B,-,-,-,-,-,,
LS에코에너지,C,D,D,B,-,-,-,-,-,,
LX세미콘,A,A,A+,B+,-,-,-,-,15,,
LX인터내셔널,A,B+,A,A,B+,-,-,-,33,,
LX하우시스,A,B+,A,A,-,-,-,-,59,,
LX홀딩스,-,-,-,-,-,-,-,-,37,,
MH에탄올,C,C,D,B,-,-,-,-,-,,
NAVER,A,A,A,A,A,-,30,AAA,43,,
NH투자증권,B+,A,A,B+,A,-,33,BBB,31,,
NICE,B+,C,B+,B+,-,-,-,-,14,,
NICE평가정보,-,-,-,-,-,-,-,-,42,,
NI스틸,D,D,D,C,-,-,-,-,-,,
OCI홀딩스,A,B+,A,A,A,-,35,-,62,,
PI첨단소재,-,-,-,-,B+,-,-,-,-,,
POSCO홀딩스,A,A,A,A+,A,-,39,BBB,72,,
S-Oil,A,B,A+,A+,A+,-,40,BB,86,,
SBS,C,D,D,B+,-,-,-,-,-,,
SGC에너지,B+,B+,A,B+,-,-,-,-,11,,
SG글로벌,D,D,D,D,-,-,-,-,-,,
SG세계물산,D,D,D,D,-,-,-,-,-,,
SHD,D,D,D,C,-,-,-,-,-,,
SH에너지화학,C,C,D,B+,-,-,-,-,-,,
SIMPAC,D,D,C,D,-,-,-,-,-,,
SJG세종,C,D,B,D,-,-,-,-,-,,
SK,A+,A,A,A+,A,-,28,AAA,82,,
SKC,A,B+,A+,A,A,-,37,BBB,50,,
SK가스,A,A,A+,A,-,-,-,-,49,,
SK네트웍스,A,A,A+,B+,A+,-,15,-,56,,
SK디스커버리,A,A,A+,B+,-,-,-,-,44,,
SK디앤디,A,A,A,A,-,-,-,-,39,,
SK렌터카,B+,A,A,B+,-,-,-,-,38,,
SK바이오사이언스,A,A,A+,A,A,-,-,B,48,,
SK스퀘어,-,-,-,-,A,-,-,BB,6,,
SK아이이테크놀로지,-,-,-,-,A,-,-,BBB,61,,
SK이노베이션,A,B+,A+,A+,A,-,35,A,68,,
SK증권,B+,C,B+,B+,-,-,-,-,19,,
SK케미칼,A+,A+,A+,A,S,-,-,-,64,,
SK텔레콤,A,A+,A,A,A+,-,45,-,88,,
SK하이닉스,B+,B+,A,B+,A+,-,39,A,78,,
SNT다이내믹스,C,C,C,B,-,-,-,-,11,,
SNT모티브,C,C,D,B,-,-,-,-,17,,
SNT에너지,C,D,C,C,-,-,-,-,-,,
SNT홀딩스,C,C,C,B,-,-,-,-,-,,
SPC삼립,B,C,B+,B,-,-,-,-,11,,
STX,C,D,C,C,-,-,-,-,-,,
STX엔진,C,D,B,D,-,-,-,-,-,,
SUN&L,C,D,C,B,-,-,-,-,-,,
TCC스틸,C,C,C,C,-,-,-,-,-,,
TP,C,D,B,D,-,-,-,-,18,,
TYM,B+,B,B+,B+,-,-,-,-,-,,
WISCOM,C,D,D,B,-,-,-,-,-,,
YG PLUS,D,D,D,D,-,-,-,-,-,,
가온전선,B,C,B+,B+,-,-,-,-,-,,
강남제비스코,C,C,B,B,-,-,-,-,-,,
강원랜드,A,B+,A+,A,A+,-,25,BB,36,,
갤럭시아에스엠,D,D,D,D,-,-,-,-,-,,
경농,C,C,D,B,-,-,-,-,-,,
경동나비엔,C,C,B,D,-,-,-,-,13,,
경동도시가스,B,C,B+,B,-,-,-,-,-,,
경동인베스트,C,C,B+,C,-,-,-,-,-,,
경방,D,C,D,D,-,-,-,-,-,,
경보제약,B+,B,A,B+,-,-,-,-,30,,
경인양행,C,B,B+,D,-,-,-,-,26,,
경인전자,D,D,D,D,-,-,-,-,-,,
계룡건설산업,C,B,B,C,-,-,-,-,29,,
계양전기,C,C,B,D,-,-,-,-,-,,
고려산업,D,D,D,D,-,-,-,-,-,,
고려아연,B,B+,A,C,A+,-,13,BB,47,,
고려제강,D,C,C,D,-,-,-,-,-,,
광동제약,C,D,B,B,-,-,-,-,20,,
광명전기,D,D,C,D,-,-,-,-,-,,
광전자,D,D,D,C,-,-,-,-,-,,
광주신세계,B+,B+,A,B+,-,-,-,-,-,,
교보증권,B+,B+,B+,B+,-,-,-,-,17,,
교촌에프앤비,C,D,C,B,-,-,-,-,-,,
국도화학,D,C,D,D,-,-,-,-,11,,
국동,D,D,C,D,-,-,-,-,-,,
국보,D,D,D,D,-,-,-,-,-,,
국제약품,C,D,C,B,-,-,-,-,-,,
그린케미칼,D,D,D,D,-,-,-,-,-,,
극동유화,D,D,C,D,-,-,-,-,-,,
금강공업,C,D,D,B,-,-,-,-,-,,
금비,D,D,D,D,-,-,-,-,-,,
금양,D,D,D,C,-,-,-,-,-,,
금호건설,C,C,B+,D,-,-,-,-,14,,
금호석유화학,A,B+,A,A,A+,-,26,B,57,,
금호에이치티,D,D,D,D,-,-,-,-,-,,
금호전기,D,D,C,D,-,-,-,-,-,,
금호타이어,B+,B,A,B,A,-,-,-,57,,
기신정기,D,D,D,D,-,-,-,-,-,,
기아,B+,A,A,B,A+,-,32,B,65,,
기업은행,A,A+,A+,B+,A,-,28,BB,45,,
까뮤이앤씨,C,D,D,B,-,-,-,-,-,,
깨끗한나라,C,C,B,C,-,-,-,-,-,,
남광토건,C,D,D,B,-,-,-,-,-,,
남선알미늄,D,D,D,C,-,-,-,-,14,,
남성,D,D,D,D,-,-,-,-,-,,
남양유업,C,B,B+,D,-,-,-,-,14,,
남해화학,C,C,C,C,-,-,-,-,10,,
넥센,B+,B+,A,B,-,-,-,-,-,,
넥센타이어,B+,B+,A,B,-,-,-,-,47,,
넷마블,B,C,B+,B,B+,-,32,A,36,,
노루페인트,A,B+,A+,B+,-,-,-,-,-,,
노루홀딩스,A,B+,A+,B+,-,-,-,-,-,,
녹십자,B+,B,A,B,B+,-,-,-,13,,
녹십자홀딩스,B+,B,A,B+,B+,-,-,-,11,,
농심,C,B,A,D,A,-,12,-,11,,
농심홀딩스,C,B,B+,C,-,-,-,-,-,,
다스코,D,D,D,C,-,-,-,-,-,,
다올투자증권,B+,B,B,B+,-,-,-,-,12,,
다우기술,C,B+,A,C,-,-,-,-,16,,
다이나믹디자인,D,D,D,C,-,-,-,-,-,,
대교,B,D,B+,B+,-,-,-,-,14,,
대구백화점,C,D,D,B+,-,-,-,-,-,,
대덕,B+,B,A,B,-,-,-,-,18,,
대덕전자,B+,B,A,B+,-,-,-,-,-,,
대동,D,C,C,D,-,-,-,-,-,,
대동전자,C,D,D,B,-,-,-,-,-,,
대림비앤코,D,D,D,C,-,-,-,-,-,,
대림통상,D,D,D,D,-,-,-,-,-,,
대상,B+,A,A+,B,A,-,-,-,44,,
대상홀딩스,B+,A,A+,B,-,-,-,-,-,,
대성산업,D,D,C,D,-,-,-,-,-,,
대성에너지,C,D,B,C,-,-,-,-,-,,
대성홀딩스,C,D,B,C,-,-,-,-,-,,
대신증권,B+,B,B+,B+,-,-,-,-,28,,
대양금속,D,D,D,D,-,-,-,-,-,,
대영포장,D,D,D,D,-,-,-,-,-,,
대우건설,B+,B+,B+,B+,B,-,37,-,41,,
대우부품,D,D,D,D,-,-,-,-,-,,
대웅,B+,B,A,B,B+,-,-,-,22,,
대웅제약,B+,B,A,B,B+,-,-,-,23,,
대원강업,C,C,D,C,-,-,-,-,4,,
대원전선,D,D,D,D,-,-,-,-,-,,
대원제약,B,D,B,B+,-,-,-,-,22,,
대원화성,D,C,C,D,-,-,-,-,-,,
대유에이텍,D,D,C,D,-,-,-,-,-,,
대유플러스,D,D,D,D,-,-,-,-,-,,
대창,D,D,C,D,-,-,-,-,-,,
대창단조,C,C,C,C,-,-,-,-,-,,
대한방직,C,D,D,B,-,-,-,-,-,,
대한유화,C,B,B,D,A,-,-,-,25,,
대한전선,A,B+,A+,B+,A,-,-,-,19,,
대한제강,D,D,D,C,-,-,-,-,-,,
대한제당,D,D,D,C,-,-,-,-,-,,
대한제분,D,C,D,D,-,-,-,-,11,,
대한항공,A,A,A,A,A,-,30,BBB,49,,
대한해운,C,C,B+,C,-,-,-,-,29,,
대한화섬,C,C,C,B,-,-,-,-,-,,
대현,C,D,D,B+,-,-,-,-,-,,
대호에이엘,D,C,D,D,-,-,-,-,-,,
더블유게임즈,B,D,C,B+,B,-,-,-,13,,
더존비즈온,D,D,C,D,-,-,-,-,14,,
덕성,D,D,C,C,-,-,-,-,-,,
덕양산업,D,D,C,D,-,-,-,-,-,,
덴티움,D,D,C,D,-,-,-,-,-,,
도화엔지니어링,C,D,C,C,-,-,-,-,10,,
동국홀딩스,B,B+,B,B,A,-,-,-,32,,
동남합성,C,D,D,B,-,-,-,-,-,,
동방,D,C,C,D,-,-,-,-,-,,
동방아그로,D,D,D,C,-,-,-,-,-,,
동부건설,C,C,B+,C,-,-,-,-,-,,
동서,D,C,C,D,C,-,9,-,7,,
동성제약,C,D,D,B,-,-,-,-,15,,
동성케미컬,B+,B+,A,B,-,-,-,-,18,,
동아쏘시오홀딩스,A,B,A,A,-,-,-,-,36,,
동아에스티,A,B,A,A,-,-,-,-,26,,
동아지질,D,D,D,D,-,-,-,-,6,,
동아타이어,D,D,D,C,-,-,-,-,-,,
동양,D,D,D,C,-,-,-,-,12,,
동양고속,D,D,D,D,-,-,-,-,-,,
