종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","2060","-15","-0.72","2090","2120","2025","102938","212025155","105234362520","51084642"
"095570","AJ네트웍스","KOSPI",,"4565","-60","-1.30","4630","4630","4550","51042","233869235","206578844835","45252759"
"006840","AK홀딩스","KOSPI",,"13460","-40","-0.30","13490","13500","13320","1220","16389410","178312171060","13247561"
"054620","APS","KOSDAQ","중견기업부","5880","-50","-0.84","5880","6010","5710","16061","92904990","116978019480","19894221"
"265520","AP시스템","KOSDAQ","우량기업부","18620","-470","-2.46","19130","19160","18480","85665","1597979250","284540059020","15281421"
"211270","AP위성","KOSDAQ","벤처기업부","11200","-210","-1.84","11390","11450","11160","39871","448447460","168921804800","15082304"
"109960","AP헬스케어","KOSDAQ","중견기업부","701","-16","-2.23","718","732","701","150144","106585740","80021371469","114153169"
"139050","BF랩스","KOSDAQ","관리종목(소속부없음)","2805","0","0.00","0","0","0","0","0","24247965555","8644551"
"027410","BGF","KOSPI",,"3505","0","0.00","3505","3515","3460","45771","159328500","335487352455","95716791"
"282330","BGF리테일","KOSPI",,"119300","1300","1.10","118000","119700","117000","43534","5185795900","2061969985800","17283906"
"126600","BGF에코머티리얼즈","KOSDAQ","우량기업부","3890","110","2.91","3780","3975","3760","91721","355857185","244163237110","62766899"
"138930","BNK금융지주","KOSPI",,"9930","-230","-2.26","10140","10140","9900","736236","7331307850","3198338189340","322088438"
"001460","BYC","KOSPI",,"34500","200","0.58","34600","34950","34300","1590","54965100","215492175000","6246150"
"001465","BYC우","KOSPI",,"13340","40","0.30","13390","13390","13310","369","4921340","28732359000","2153850"
"013720","CBI","KOSDAQ","중견기업부","1189","-49","-3.96","1225","1236","1186","226292","270825948","53062853704","44628136"
"083790","CG인바이츠","KOSDAQ","벤처기업부","2375","-40","-1.66","2430","2430","2335","65142","154618900","182623682250","76894182"
"001040","CJ","KOSPI",,"111900","0","0.00","112900","114200","110000","80876","9055838000","3264906076200","29176998"
"079160","CJ CGV","KOSPI",,"6950","-220","-3.07","7210","7290","6900","1477323","10413490250","1150779179100","165579738"
"035760","CJ ENM","KOSDAQ GLOBAL","중견기업부","71300","-1300","-1.79","72600","72900","71000","33911","2428231300","1563548680200","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","12480","-170","-1.34","12650","12940","12450","4054","50831970","113724024960","9112502"
"00104K","CJ4우(전환)","KOSPI",,"85700","900","1.06","84600","86000","82800","12408","1042046500","362212078400","4226512"
"000120","CJ대한통운","KOSPI",,"94100","-200","-0.21","95100","95700","93600","48478","4571654086","2146641570400","22812344"
"011150","CJ씨푸드","KOSPI",,"3525","135","3.98","3440","3950","3385","3715953","13675258785","126655974825","35930773"
"011155","CJ씨푸드1우","KOSPI",,"19200","420","2.24","19400","19400","19200","332","6385860","3840000000","200000"
"001045","CJ우","KOSPI",,"59200","600","1.02","58600","59700","58300","1382","81124000","133805201600","2260223"
"097950","CJ제일제당","KOSPI",,"322000","0","0.00","324000","325500","319000","20112","6474102500","4847447892000","15054186"
"097955","CJ제일제당 우","KOSPI",,"138800","-600","-0.43","139400","139400","136500","4337","596443400","184247700400","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","18490","-190","-1.02","18800","18820","18400","11071","204994450","219505625140","11871586"
"058820","CMG제약","KOSDAQ","우량기업부","2255","-45","-1.96","2310","2310","2230","458515","1033170355","313202010220","138892244"
"023460","CNH","KOSDAQ","투자주의환기종목(소속부없음)","409","-4","-0.97","416","421","407","1477858","609372512","15214800000","37200000"
"056730","CNT85","KOSDAQ","중견기업부","799","6","0.76","793","827","779","18247","14428155","59214837614","74111186"
"000480","CR홀딩스","KOSPI",,"5880","10","0.17","5850","5910","5780","10942","63887900","275716081200","46890490"
"065770","CS","KOSDAQ","벤처기업부","1063","10","0.95","1059","1083","1059","38974","41743750","20634031190","19411130"
"083660","CSA 코스믹","KOSDAQ","중견기업부","969","-7","-0.72","976","1268","946","2095629","2311704615","59348518389","61247181"
"000590","CS홀딩스","KOSPI",,"67400","-100","-0.15","67500","67500","66700","633","42482800","77812086800","1154482"
"012030","DB","KOSPI",,"1284","19","1.50","1265","1294","1257","650738","832064398","258307329972","201173933"
