회사명,종합등급,환경,사회,지배구조
AJ네트웍스,B,D,B,B
AK홀딩스,B+,B,B+,B+
BGF,A,A,A+,A
BGF리테일,A,A,A+,A
BNK금융지주,A+,A,A+,A+
BYC,B,D,B,B+
CJ,A,B+,A+,A
CJ CGV,A,B,A,A
CJ대한통운,A,A,A+,A
CJ씨푸드,B,C,B+,B+
CJ제일제당,A,A,A+,A
CS홀딩스,B,D,C,B+
DB,B,D,B+,B+
DB금융투자,B,D,B+,B
DB손해보험,A,A,A+,B+
DB하이텍,A,A,A,A
DGB금융지주,A+,A,A+,A+
DL,A,A+,A+,B+
DL건설,B+,B+,A,B+
DL이앤씨,-,-,-,-
CJ제일제당,A,A,A+,A
CS홀딩스,B,D,C,B+
DB,B,D,B+,B+
DB금융투자,B,D,B+,B
DB손해보험,A,A,A+,B+
DB하이텍,A,A,A,A
DGB금융지주,A+,A,A+,A+
DL,A,A+,A+,B+
DL건설,B+,B+,A,B+
DL이앤씨,-,-,-,-
DN오토모티브,B,B,C,B+
DRB동일,B+,B,B+,B+
DSR,B,B,B,B
DSR제강,C,C,C,B+
E1,B+,B+,A,B+
F&F,-,-,-,-
F&F 홀딩스,B+,B+,A,B+
GKL,B+,B+,B+,B+
GS,A,A,A,A
GS건설,A,A,A+,A
GS글로벌,B+,B,B+,A
GS리테일,A,A,A,A
HDC,B+,B,B+,A
HDC랩스,B,C,B,B+
HDC현대EP,B+,B,B+,B+
HDC현대산업개발,B,B,C,B+
HD한국조선해양,A,A,B+,A
HD현대,A,A,A+,A
HD현대건설기계,A,B+,A+,A
HD현대마린엔진,B,C,B,B+
HD현대미포,A,A,A+,A
HD현대에너지솔루션,A,A,A+,B+
HD현대인프라코어,A,A,A+,A
HD현대일렉트릭,A,A,A+,A
HD현대중공업,-,-,-,-
HJ중공업,B,C,B,B+
HL D&I,B+,B+,B+,B+
HLB글로벌,C,D,C,B
HL만도,A,B+,A+,A
HL홀딩스,A,B,A+,A
HMM,A,A,A+,A
HS애드,B,D,B,B
HS화성,B,C,B+,B+
HS효성첨단소재,A,A,A+,A
JB금융지주,A+,A,A+,A+
JW생명과학,B,B,B+,B
JW중외제약,B,C,B+,B+
JW홀딩스,B,D,B+,B+
KB금융,A+,A+,A+,A+
KC그린홀딩스,B,D,C,B+
KC코트렐,C,D,C,B+
KEC,B,B,B+,B
KG스틸,B,B+,B,B
KG케미칼,C,C,C,B
KH 필룩스,C,C,B,C
KIB플러그에너지,C,D,C,B
KISCO홀딩스,B,B,B,B
KPX케미칼,C,B,C,C
KPX홀딩스,B,B,C,B+
KR모터스,C,D,C,B
KSS해운,A,B+,A+,A
KTcs,A,B+,A,A
KTis,A,B+,A+,A
LF,B,D,B,B+
LG,A,A,A+,A
LG디스플레이,B+,B,A,B+
LG생활건강,A,A,A+,A
LG에너지솔루션,-,-,-,-
LG유플러스,A,A,A+,A
LG이노텍,A,A,A+,A
LG전자,A,A,A+,A
LG헬로비전,B+,C,A,A
LG화학,B+,B+,A,B+
LIG넥스원,A,A,A+,A
LS,A,B+,A+,B+
LS네트웍스,C,D,C,B
LS에코에너지,B,D,C,B+
LX세미콘,B+,B,B+,B+
LX인터내셔널,A,A,A+,A
LX하우시스,A,A,A+,A
MH에탄올,B,B,D,B+
NAVER,A+,A,A,A+
NH투자증권,A,A,A+,A
NICE,B+,B,A,B+
NICE평가정보,B+,B,A,B
NI스틸,C,D,C,B
OCI홀딩스,A,B+,A+,A
PI첨단소재,B+,B+,B,B+
POSCO홀딩스,A,A,B+,A+
S-Oil,A,B+,A+,A+
SBS,B,D,B+,B+
SGC에너지,B+,B+,A,B+
SG글로벌,C,C,C,C
SG세계물산,C,D,B,C
SHD,C,D,C,B
SH에너지화학,B,B,D,B+
SIMPAC,B,B,B,B
SJG세종,B,B,B,B
SK,A+,A+,A+,A+
SKC,A,A,A+,B+
SK가스,A,A,A+,A
SK네트웍스,A,B+,A+,A
SK디스커버리,A,A,A+,A
SK디앤디,A,A,A+,A
SK렌터카,A,B+,A+,B+
SK바이오사이언스,-,-,-,-
SK아이이테크놀로지,-,-,-,-
SK이노베이션,A+,A,A+,A+
SK증권,B+,C,A,B+
SK케미칼,A,A,A+,A
SK텔레콤,A,A,A+,A
SK하이닉스,A,B+,A+,A
SNT다이내믹스,B,B,C,B
SNT모티브,B,C,B,B+
SNT에너지,B,B,B,B
SNT홀딩스,B+,B,B,B+
SPC삼립,B+,B,A,B+
STX,B,D,B,B+
STX엔진,B+,B,B,B+
SUN&L,B+,B,B,B+
TCC스틸,B,B,C,B
TP,B,C,B+,B
TYM,A,B+,A+,B+
WISCOM,C,C,C,B+
YG PLUS,C,D,C,B
가온전선,B+,B,B+,B+
강남제비스코,B,B,B,B+
강원랜드,A,B+,A,A
갤럭시아에스엠,C,D,D,B
경농,B,B,B,B
경동나비엔,B+,B+,B+,B+
경동도시가스,A,B+,A,A
경동인베스트,B+,B+,A,B+
경방,C,C,C,B+
경보제약,B+,B+,A,B+
경인양행,C,C,B,B
경인전자,C,D,C,B
계룡건설산업,C,D,D,B+
계양전기,B,B,B+,B
고려산업,C,C,D,B
고려아연,B,B+,C,B+
고려제강,B+,B+,B,B+
광동제약,B,C,B+,B+
광명전기,C,C,D,B
광전자,B,C,B,B+
광주신세계,A,B+,A,A
교보증권,B,D,B+,B
국도화학,B,B,C,B+
국동,B,D,B,B+
국보,D,D,D,C
국제약품,B,D,B,B+
그린케미칼,B,B,C,B
극동유화,B,B,C,B
금강공업,C,C,C,B+
금비,C,C,C,B
금양,C,D,C,B+
금호건설,C,C,D,C
금호석유화학,B+,B,A,A
금호에이치티,C,C,C,B
금호전기,B,C,B,B+
금호타이어,B+,B+,A,B+
기신정기,C,D,C,B
기아,A+,A+,A+,A
기업은행,A,A,A+,A
까뮤이앤씨,C,D,C,B+
깨끗한나라,B,B+,B,B
남광토건,C,D,C,B
남선알미늄,C,C,B,B
남성,C,D,C,B
남양유업,B+,B+,B+,B+
남해화학,B,C,B,B+
넥센,B+,B+,A,B
넥센타이어,B+,B+,A,B+
넷마블,B+,D,B+,A
노루페인트,A,A,A+,B+
노루홀딩스,A,A,A+,B+
녹십자,B+,B+,B+,B+
녹십자홀딩스,B+,B+,B+,B+
농심,B+,B,A,B
농심홀딩스,B+,B,A,B+
다스코,B,B,C,B+
다올투자증권,B+,C,A,B+
다우기술,B+,B,A,B+
다이나믹디자인,C,C,C,C
대교,B+,D,B+,A
대구백화점,B,D,B+,B+
대덕,A,B+,A,A
대동,B+,B,B,B+
대동전자,C,C,C,B+
대림비앤코,C,C,C,B+
대림통상,C,C,C,C
대상,A,A,A+,B+
대상홀딩스,A,A,A+,B+
대성산업,C,C,C,B+
대성에너지,B,B,B,B
대성홀딩스,B,C,B+,B
대신증권,A,B,A+,A
대양금속,C,C,C,B
대영포장,C,C,C,C
대우건설,A,B+,A,A
대우부품,C,C,C,B
대웅,B,D,B+,B
대웅제약,C,D,B,B
대원강업,B,B,C,B+
대원전선,C,C,C,B
대원제약,B,D,B,B+
대원화성,B,B,B,B+
대유에이텍,C,C,C,B
대유플러스,C,C,C,C
대창,C,B,B,C
대창단조,B,B,C,B+
대한방직,C,C,C,B+
대한유화,B,B,B,B+
대한전선,A,A,A+,A
대한제강,B,B,B,B
대한제당,B,B,C,B+
대한제분,B,C,C,B+
대한항공,A,A,A+,A
대한해운,B,D,B,B+
대한화섬,B+,B,B+,B+
대현,B,D,B,B+
대호에이엘,B,B,C,B
더블유게임즈,B,D,B+,B+
더존비즈온,B,C,B,B
덕성,C,C,C,B+
덕양산업,C,C,C,B
덴티움,B,D,B,B+
도화엔지니어링,B+,B,B,B+
동국홀딩스,B+,B+,B,B+
동남합성,C,D,C,B
동방,C,B,D,B
동방아그로,C,D,C,B+
동부건설,C,C,D,B+
동서,C,D,C,B
동성제약,C,D,C,B+
동성케미컬,B+,B,B+,B+
동아쏘시오홀딩스,A,B+,A+,A
동아에스티,A,B+,A+,A
동아지질,C,D,D,B
동아타이어,C,D,C,B+
동양,C,C,C,B+
동양고속,B,C,C,B+
동양생명,B+,C,A,B+
동양철관,C,D,D,B
동양피스톤,B,B,C,B+
동원F&B,B+,B,A,B
동원금속,C,D,C,B+
동원산업,B,C,B+,B+
동원수산,C,D,C,B+
동원시스템즈,B,C,B+,B
동일고무벨트,B+,B,B+,B+
동일산업,B,B,C,B+
동일제강,C,C,C,B
동화약품,B,D,B+,B
두산,A,A,A+,B+
두산밥캣,B+,C,A,A
두산에너빌리티,A,A+,A,B+
두산퓨얼셀,B+,B,A,A
두올,B,C,B,B+
드림텍,C,C,C,B+
디씨엠,C,D,C,B+
디아이,B,D,B,B+
디아이동일,C,D,C,B+
디아이씨,C,C,C,B
디와이,B,C,C,B+
디와이파워,B,C,C,B+
락앤락,C,C,C,B+
롯데관광개발,B,D,B,B
롯데손해보험,A,B,A+,A
롯데쇼핑,A,A,A+,A
롯데에너지머티리얼즈,C,C,C,B
롯데웰푸드,A,A,A,A
롯데이노베이트,A,A,A,A
롯데정밀화학,A,A,A+,A
롯데지주,A,B+,A+,A
롯데칠성음료,A,B+,A+,A
롯데케미칼,A,B,A+,A
롯데푸드,A,B+,A,A
롯데하이마트,A,A,A+,A
마니커,C,D,B,B
만호제강,C,C,C,B+
맵스리얼티1,-,-,-,-
메리츠금융지주,B+,D,B+,A
메리츠증권,B+,C,A,B+
메리츠화재,B,D,B+,B+
메타랩스,C,D,C,B+
메타케어,B,D,B,B
명문제약,B,D,B,B+
명신산업,-,-,-,-
모나리자,B,B,C,B
모나미,C,D,C,B
모나용평,C,C,C,B
모토닉,B,B,B,B+
무림P&P,A,B+,A,A
무림페이퍼,A,B+,B+,A
무학,B,D,B,B+
문배철강,C,D,C,B
