종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","3475","75","2.21","3400","3485","3310","161493","554638365","160793507675","46271513"
"095570","AJ네트웍스","KOSPI",,"5380","30","0.56","5300","5380","5170","72085","381774050","251903947100","46822295"
"006840","AK홀딩스","KOSPI",,"19050","100","0.53","18950","19300","18550","57400","1080361050","252366037050","13247561"
"054620","APS홀딩스","KOSDAQ","중견기업부","13500","350","2.66","13400","13550","12450","131694","1723032700","275321983500","20394221"
"265520","AP시스템","KOSDAQ","우량기업부","21800","500","2.35","21350","22400","20900","146208","3150183550","333134977800","15281421"
"211270","AP위성","KOSDAQ","벤처기업부","11150","800","7.73","10350","11250","10300","98027","1053612550","168167689600","15082304"
"027410","BGF","KOSPI",,"4940","30","0.61","4870","4975","4820","256977","1261033325","472840947540","95716791"
"282330","BGF리테일","KOSPI",,"143500","-2500","-1.71","146000","146500","141000","51220","7350061000","2480240511000","17283906"
"032790","BNGT","KOSDAQ","관리종목(소속부없음)","4075","0","0.00","0","0","0","0","0","120352455875","29534345"
"138930","BNK금융지주","KOSPI",,"8140","140","1.75","8050","8160","7900","1106685","8928466920","2653112902440","325935246"
"001460","BYC","KOSPI",,"418500","-500","-0.12","443500","443500","413500","384","160718500","261401377500","624615"
"001465","BYC우","KOSPI",,"170000","500","0.29","169500","170000","168500","65","11044000","36615450000","215385"
"013720","CBI","KOSDAQ","중견기업부","4055","305","8.13","3820","4095","3680","1589619","6263838150","214142664425","52809535"
"001040","CJ","KOSPI",,"80300","300","0.38","79500","80900","79400","91120","7301103774","2342912939400","29176998"
"079160","CJ CGV","KOSPI",,"22850","450","2.01","22400","22900","21700","438707","9824026450","867085636750","37946855"
"035760","CJ ENM","KOSDAQ","우량기업부","134300","-1500","-1.10","136100","137500","133100","233317","31538178500","2945085382200","21929154"
"00104K","CJ4우(전환)","KOSPI",,"67000","-500","-0.74","67300","67800","66500","16700","1122038700","283176304000","4226512"
"000120","CJ대한통운","KOSPI",,"125000","1000","0.81","124000","126000","123000","60420","7537105000","2851543000000","22812344"
"011150","CJ씨푸드","KOSPI",,"3370","60","1.81","3240","3410","3240","152657","507010215","121086705010","35930773"
"011155","CJ씨푸드1우","KOSPI",,"37450","-650","-1.71","38000","38000","37000","501","18696250","7490000000","200000"
