종목명,변동성,회사명,종합등급_수치
AJ네트웍스,0.1840329594636561,AJ네트웍스,2.6
AK홀딩스,0.1803962122101104,AK홀딩스,3.4
BGF,0.1290444390171819,BGF,3.6
BGF리테일,0.1442827698395581,BGF리테일,4.0
BNK금융지주,0.1168062031487416,BNK금융지주,4.4
BYC,0.2722233041825195,BYC,0.8
CJ,0.1638730962698485,CJ,3.8
CJ CGV,0.193961841729792,CJ CGV,3.8
CJ대한통운,0.1496990932903205,CJ대한통운,3.8
CJ씨푸드,0.2291868447100434,CJ씨푸드,2.4
CJ제일제당,0.1510916108250582,CJ제일제당,4.0
CS홀딩스,0.1063154282672782,CS홀딩스,1.2
DB,0.2319277508156181,DB,1.6
DB금융투자,0.1287111646411607,DB금융투자,2.0
DB손해보험,0.1031462674937822,DB손해보험,3.2
DB하이텍,0.2123045153524759,DB하이텍,2.6
DGB금융지주,0.1309549382341611,DGB금융지주,4.4
DRB동일,0.2096536045246004,DRB동일,2.4
DSR,0.1649879871690835,DSR,0.8
DSR제강,0.1658351974902254,DSR제강,1.0
E1,0.1374120593248832,E1,3.2
GKL,0.1612565397220298,GKL,3.4
GS,0.1146508460092593,GS,3.2
GS건설,0.1724649982545999,GS건설,4.0
GS글로벌,0.2412711884952494,GS글로벌,2.8
GS리테일,0.1057093574322033,GS리테일,3.8
HDC,0.1691132321045993,HDC,2.2
HDC현대EP,0.1410371010724433,HDC현대EP,2.4
HDC현대산업개발,0.2566125634520499,HDC현대산업개발,2.2
JB금융지주,0.1483613815264248,JB금융지주,4.4
JW생명과학,0.0913626341326289,JW생명과학,2.4
JW중외제약,0.262425566785209,JW중외제약,2.2
JW홀딩스,0.1321742750668431,JW홀딩스,2.8
KB금융,0.1396409665620566,KB금융,4.8
KC그린홀딩스,0.2484726373745756,KC그린홀딩스,1.4
KC코트렐,0.3986756232091358,KC코트렐,1.0
KEC,0.3626828633061516,KEC,1.2
KG케미칼,0.277917180579355,KG케미칼,0.6
KISCO홀딩스,0.1798900101982795,KISCO홀딩스,0.8
KPX케미칼,0.0738008399403819,KPX케미칼,0.8
KPX홀딩스,0.152955807282388,KPX홀딩스,1.0
KR모터스,0.2678156623903002,KR모터스,0.4
KSS해운,0.0973638197193588,KSS해운,3.2
KTcs,0.3415832467339267,KTcs,3.6
KTis,0.2221769898114832,KTis,3.0
LF,0.1253994901682475,LF,2.4
LG,0.1247165596645504,LG,4.0
LG디스플레이,0.1748115898833889,LG디스플레이,3.2
LG생활건강,0.151506717206169,LG생활건강,4.0
SK,0.1298523370958017,SK,4.8
SKC,0.2574281359308752,SKC,4.0
SK가스,0.1211470199841754,SK가스,4.2
SK네트웍스,0.1704876735623635,SK네트웍스,4.2
SK디스커버리,0.4043231041510712,SK디스커버리,4.0
SK디앤디,0.2388813834257838,SK디앤디,3.6
SK이노베이션,0.1698752520208212,SK이노베이션,4.6
SK증권,0.1118473290992013,SK증권,2.8
SK텔레콤,0.2172371572850187,SK텔레콤,4.0
SK하이닉스,0.1794158067879329,SK하이닉스,3.6
SPC삼립,0.1421873992415277,SPC삼립,2.0
STX엔진,0.3696445328594406,STX엔진,1.6
WISCOM,0.1421983004909643,WISCOM,1.0
YG PLUS,0.4549376108362003,YG PLUS,0.6
가온전선,0.314599101808452,가온전선,2.6
강남제비스코,0.1284858444552811,강남제비스코,2.2
강원랜드,0.1249211399486594,강원랜드,4.0
갤럭시아에스엠,0.2219771168855039,갤럭시아에스엠,0.4
경농,0.1608866762562721,경농,1.2
경동나비엔,0.1548249778618663,경동나비엔,2.6
경동도시가스,0.1461124957625875,경동도시가스,2.4
경방,0.1636801551223105,경방,0.8
경보제약,0.1760889790664048,경보제약,2.8
경인양행,0.0897386386505625,경인양행,1.6
경인전자,0.1259253324686721,경인전자,0.4
계양전기,0.1179609367029227,계양전기,1.2
고려산업,0.3468320539137854,고려산업,0.4
고려아연,0.3760529220712495,고려아연,2.2
고려제강,0.2057034815969469,고려제강,1.2
광동제약,0.1357948934918467,광동제약,1.4
광명전기,0.2013873476093253,광명전기,0.6
광전자,0.1292022546137352,광전자,1.0
광주신세계,0.2083213363996675,광주신세계,3.6
교보증권,0.0976913260479555,교보증권,2.6
국도화학,0.168679100279575,국도화학,1.0
국제약품,0.2824965915720808,국제약품,1.0
