회사명,종합등급,환경,사회,지배구조
AJ네트웍스,B+,C,A,B+
AK홀딩스,A,A,A+,B+
BGF,A,A,A+,B+
BGF리테일,A,A,A+,A
BNK금융지주,A,A,A+,A
BYC,D,D,D,D
CJ,A,A,A+,B+
CJ CGV,A,A,A+,B+
CJ대한통운,A,A,A+,B+
CJ씨푸드,B+,B+,A,B
CJ제일제당,A,A,A+,A
CS홀딩스,C,D,D,B
DB,C,D,B,C
DB금융투자,B,C,B,B+
DB손해보험,B+,B+,A,B+
DB하이텍,B+,A,A,B
DGB금융지주,A,A+,A,A
DL,A,A,A,A
DL건설,A,A,A+,B+
DL이앤씨,A,A,B+,A
DN오토모티브,C,C,B,D
DRB동일,B+,B,A,B+
DSR,D,C,C,D
DSR제강,C,C,C,B
E1,A,A,A,B+
ESR켄달스퀘어리츠,-,-,-,-
F&F,B+,B+,A+,B
F&F 홀딩스,A,B+,A+,B+
GKL,B+,B,A,B+
GS,B,B+,A+,C
GS건설,A,A,B+,A
GS글로벌,B+,B+,B+,B+
GS리테일,A,A+,A,A
HDC,B+,B+,A,B
HDC랩스,D,D,D,C
HDC현대EP,B+,B+,B+,B
HDC현대산업개발,B+,B+,A,B
HD한국조선해양,A,A,A+,A
HD현대,A,B+,A+,B+
HD현대건설기계,A+,A+,A+,A
HD현대마린엔진,C,C,C,B
HD현대미포,A,A,A+,B+
HD현대에너지솔루션,A,A,A,B+
HD현대인프라코어,A,A+,A+,B+
HD현대일렉트릭,A,A,A+,A
HD현대중공업,A,A,A,B+
HJ중공업,B+,B,B+,B+
HL D&I,A,A,A+,B+
HLB글로벌,D,D,D,D
HL만도,A,B+,A+,A
HL홀딩스,A,A,A+,A
HMM,A,A+,A+,B+
HS애드,B,D,C,B+
HS화성,C,C,C,B+
HS효성첨단소재,A,A,A+,A
JB금융지주,A,A+,A,A
JW생명과학,B+,B+,A,B
JW중외제약,B+,B,A,B+
JW홀딩스,B+,B,A,B+
KB금융,A+,A+,A+,A+
KC그린홀딩스,C,C,D,C
KC코트렐,C,C,D,C
KEC,D,C,C,D
KG모빌리티,D,C,C,D
KG스틸,B,B+,A,C
KG케미칼,C,C,D,C
KH 필룩스,D,C,C,D
KIB플러그에너지,D,D,D,D
KISCO홀딩스,D,C,D,D
KPX케미칼,C,C,C,C
KPX홀딩스,C,C,C,C
KR모터스,D,D,D,D
KSS해운,B+,B+,A,B+
KTcs,A,A,A,A
KTis,B+,B+,A,B+
LF,B+,B,B,B+
LG,A,A,A+,A
LG디스플레이,B+,A,A+,B
LG생활건강,A,A,A+,A
LG에너지솔루션,-,-,-,-
LG유플러스,A,A,A,A
LG이노텍,A,A,A+,A
LG전자,A,A+,A,A
LG헬로비전,A,B+,A+,A
LG화학,A,B+,A+,A
LIG넥스원,A,A,A+,A
LS,A,A,A,A
LS네트웍스,B+,B,A,B+
LS에코에너지,C,D,C,B
LX세미콘,B+,A,A,B+
LX인터내셔널,B+,B+,A+,B
LX하우시스,A,A,A,B+
LX홀딩스,B+,B+,A,B+
MH에탄올,D,D,D,C
NAVER,A+,A,A+,A+
NH투자증권,A,A,A,A
NICE,B+,B,A,B+
NICE평가정보,-,-,-,-
NI스틸,D,D,D,D
OCI,-,-,-,-
OCI홀딩스,A,A,A,A
PI첨단소재,B+,B+,A,B
POSCO홀딩스,A+,A,A+,A+
S-Oil,A+,A,A+,A+
SBS,B+,B+,A,B+
