,회사명,종합등급,환경,사회,지배구조,연도
0,AJ네트웍스,B,D,B,B,2020
1,AJ네트웍스,B,D,B,B,2021
2,AJ네트웍스,B+,C,B+,B+,2022
3,AJ네트웍스,B+,C,A,B+,2023
4,AJ네트웍스,B+,C,A,B+,2024
5,AK홀딩스,B+,C,B+,B+,2020
6,AK홀딩스,B+,B,B+,B+,2021
7,AK홀딩스,B+,B,A,B,2022
8,AK홀딩스,A,A,A+,B+,2023
9,AK홀딩스,A,A,A+,B+,2024
10,BGF,B+,B,A,B+,2020
11,BGF,A,A,A+,A,2021
12,BGF,B+,A,A+,B,2022
13,BGF,A,A,A+,B+,2023
14,BGF,A,A,A+,B+,2024
15,BGF리테일,A,B+,B+,A,2020
16,BGF리테일,A,A,A+,A,2021
17,BGF리테일,A,A,A+,A,2022
18,BGF리테일,A,A,A+,A,2023
19,BGF리테일,A,A,A+,A,2024
20,BNK금융지주,A+,B+,A+,A+,2020
21,BNK금융지주,A+,A,A+,A+,2021
22,BNK금융지주,A,A,A,A,2022
23,BNK금융지주,A,A,A+,A,2023
24,BNK금융지주,A,A,A+,A,2024
25,BYC,B,D,B,B+,2020
26,BYC,B,D,B,B+,2021
27,BYC,D,D,D,D,2022
28,BYC,D,D,D,D,2023
29,BYC,D,D,D,D,2024
30,CJ,A,B,A,A,2020
31,CJ,A,B+,A+,A,2021
32,CJ,B+,B+,A,B+,2022
33,CJ,A,A,A+,B+,2023
34,CJ,A,A,A+,B+,2024
35,CJ CGV,A,B,A,A,2020
36,CJ CGV,A,B,A,A,2021
37,CJ CGV,B+,B,B+,B+,2022
38,CJ CGV,A,A,A+,B+,2023
39,CJ CGV,A,A,A+,B+,2024
40,CJ대한통운,A,A,B,A,2020
41,CJ대한통운,A,A,A+,A,2021
42,CJ대한통운,B+,B+,A+,B,2022
43,CJ대한통운,A,A,A+,B+,2023
44,CJ대한통운,A,A,A+,B+,2024
45,CJ씨푸드,B,C,B+,B+,2020
46,CJ씨푸드,B,C,B+,B+,2021
47,CJ씨푸드,B,C,B,B,2022
48,CJ씨푸드,B+,B+,A,B,2023
49,CJ씨푸드,B+,B+,A,B,2024
50,CJ제일제당,A,A,A+,A,2020
51,CJ제일제당,A,A,A+,A,2020
52,CJ제일제당,A,A,A+,A,2021
53,CJ제일제당,A,A,A+,A,2021
54,CJ제일제당,A,A,A,B+,2022
55,CJ제일제당,A,A,A+,A,2023
56,CJ제일제당,A,A,A+,A,2024
57,CS홀딩스,C,D,C,B,2020
58,CS홀딩스,C,D,C,B,2020
59,CS홀딩스,B,D,C,B+,2021
60,CS홀딩스,B,D,C,B+,2021
61,CS홀딩스,C,D,D,B,2022
62,CS홀딩스,C,D,D,B,2023
63,CS홀딩스,C,D,D,B,2024
64,DB,B,D,B,B,2020
65,DB,B,D,B,B,2020
66,DB,B,D,B+,B+,2021
67,DB,B,D,B+,B+,2021
68,DB,B,D,B,B+,2022
69,DB,C,D,B,C,2023
70,DB,C,D,B,C,2024
71,DB금융투자,B,D,A,B,2020
72,DB금융투자,B,D,A,B,2020
73,DB금융투자,B,D,B+,B,2021
74,DB금융투자,B,D,B+,B,2021
75,DB금융투자,B,C,B,B,2022
76,DB금융투자,B,C,B,B+,2023
77,DB금융투자,B,C,B,B+,2024
78,DB손해보험,B+,A,A,B+,2020
79,DB손해보험,B+,A,A,B+,2020
80,DB손해보험,A,A,A+,B+,2021
81,DB손해보험,A,A,A+,B+,2021
82,DB손해보험,B+,B+,A,B+,2022
83,DB손해보험,B+,B+,A,B+,2023
84,DB손해보험,B+,B+,A,B+,2024
85,DB하이텍,B+,B+,A,B+,2020
86,DB하이텍,B+,B+,A,B+,2020
87,DB하이텍,A,A,A,A,2021
88,DB하이텍,A,A,A,A,2021
89,DB하이텍,B,B,B+,B,2022
90,DB하이텍,B+,A,A,B,2023
91,DB하이텍,B+,A,A,B,2024
92,DGB금융지주,A+,A,A+,A+,2020
93,DGB금융지주,A+,A,A+,A+,2020
94,DGB금융지주,A+,A,A+,A+,2021
95,DGB금융지주,A+,A,A+,A+,2021
96,DGB금융지주,A,A+,A+,A,2022
97,DGB금융지주,A,A+,A,A,2023
98,DGB금융지주,A,A+,A,A,2024
99,DL,B+,A,B+,B+,2020
100,DL,B+,A,B+,B+,2020
101,DL,A,A+,A+,B+,2021
102,DL,A,A+,A+,B+,2021
