종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
AJ네트웍스,KOSPI,,5980,70,1.18,5910,5990,5840,107862,637395400,279997324100,46822295
AK홀딩스,KOSPI,,27500,0,0.0,27500,27950,27250,28064,775667050,364307927500,13247561
BGF,KOSPI,,6390,60,0.95,6360,6390,6280,110182,699707730,611630294490,95716791
BGF리테일,KOSPI,,180500,2000,1.12,176000,181000,176000,19851,3550042000,3119745033000,17283906
BNK금융지주,KOSPI,,7880,120,1.55,7740,7890,7730,794183,6218424790,2568369738480,325935246
BYC,KOSPI,,410000,-2000,-0.49,405000,423500,405000,406,168184500,256092150000,624615
CJ,KOSPI,,101500,0,0.0,102000,102500,100500,54037,5502077500,2961465297000,29176998
CJ CGV,KOSPI,,31150,850,2.81,30350,31500,30150,882043,27467291600,1155177128700,37084338
CJ대한통운,KOSPI,,169000,-2000,-1.17,169000,170500,168500,76897,13034187020,3855286136000,22812344
CJ씨푸드,KOSPI,,4270,40,0.95,4230,4270,4205,104005,440373955,153424400710,35930773
CJ제일제당,KOSPI,,446500,-7000,-1.54,450500,453000,446000,29555,13243567500,6721694049000,15054186
CS홀딩스,KOSPI,,64500,-100,-0.15,64500,64600,63900,796,51200500,74464089000,1154482
DB,KOSPI,,1060,5,0.47,1045,1070,1045,715389,755336625,213244368980,201173933
DB금융투자,KOSPI,,6800,50,0.74,6750,6820,6720,76985,521831190,288635445200,42446389
DB손해보험,KOSPI,,58800,100,0.17,57900,59200,57800,83277,4886401400,4163040000000,70800000
DB하이텍,KOSPI,,60200,400,0.67,59800,60300,59400,430240,25776010800,2672794997600,44398588
DGB금융지주,KOSPI,,9250,150,1.65,9100,9300,9100,334996,3086968340,1564598955250,169145833
DL,KOSPI,,72600,300,0.41,71800,73900,71500,73088,5330967800,1521397178400,20955884
DL건설,KOSPI,,32300,0,0.0,32400,32700,32150,24958,809544350,712321073200,22053284
DRB동일,KOSPI,,6500,0,0.0,6630,6630,6440,12586,81711780,129545000000,19930000
DSR,KOSPI,,6980,20,0.29,6970,7070,6900,254311,1771806030,111680000000,16000000
DSR제강,KOSPI,,6860,240,3.63,6750,6910,6740,505679,3454635330,98784000000,14400000
E1,KOSPI,,55700,200,0.36,55800,56300,55200,15150,841800300,382102000000,6860000
GKL,KOSPI,,15650,50,0.32,15500,15850,15500,316936,4972474100,968041235500,61855670
GS,KOSPI,,42200,-300,-0.71,42050,42550,41850,155077,6542523150,3921028951600,92915378
GS건설,KOSPI,,44650,-100,-0.22,44550,44950,44100,543349,24226948450,3821213528500,85581490
GS글로벌,KOSPI,,2815,-20,-0.71,2840,2865,2800,321377,905171610,232332545660,82533764
GS리테일,KOSPI,,34300,0,0.0,34250,34450,33900,248890,8514624850,3591824724600,104717922
HDC,KOSPI,,11750,0,0.0,11750,11850,11650,126114,1478491400,701965221750,59741721
HDC현대EP,KOSPI,,5470,90,1.67,5380,5490,5340,51232,278754260,174493000000,31900000
HDC현대산업개발,KOSPI,,29900,0,0.0,29900,30400,29850,332969,10014792500,1970629167000,65907330
HMM,KOSPI,,42000,0,0.0,41850,42700,41400,3699042,155547314050,17026484454000,405392487
JB금융지주,KOSPI,,8260,-30,-0.36,8230,8340,8170,240776,1984913170,1627078704440,196982894
JW생명과학,KOSPI,,17650,-100,-0.56,17450,17750,17300,24633,430786550,279479878100,15834554
JW중외제약,KOSPI,,26950,-200,-0.74,27050,27350,26800,132526,3572219000,580501005700,21539926
JW홀딩스,KOSPI,,4120,-10,-0.24,4130,4135,4050,28388,116584975,281977669840,68441182
KB금융,KOSPI,,53100,200,0.38,53300,53400,52700,1121570,59399672300,22079400552000,415807920
KC그린홀딩스,KOSPI,,5860,50,0.86,5850,5890,5790,134232,783351090,131468982800,22434980
KC코트렐,KOSPI,,8180,80,0.99,8100,8350,8090,212784,1744671390,143968000000,17600000
KEC,KOSPI,,2220,5,0.23,2210,2240,2190,956431,2125284710,259089406800,116706940
KG케미칼,KOSPI,,34100,-100,-0.29,34250,34450,33900,63789,2178979700,472833873600,13866096
KH 필룩스,KOSPI,,3260,-25,-0.76,3320,3370,3225,2248248,7403464010,434537908620,133293837
KISCO홀딩스,KOSPI,,22500,200,0.9,22300,22600,22000,29334,654796300,415718550000,18476380
KPX케미칼,KOSPI,,60900,400,0.66,60800,61200,60300,3850,232997400,294756000000,4840000
KPX홀딩스,KOSPI,,66400,-200,-0.3,66600,66900,66000,1163,77340900,280516494400,4224646
KR모터스,KOSPI,,1130,5,0.44,1125,1135,1115,204474,230928240,108635225840,96137368
KSS해운,KOSPI,,11150,50,0.45,11100,11150,10950,38244,423548250,258522562000,23185880
KTcs,KOSPI,,2910,10,0.34,2890,2920,2875,132111,383136905,124213350000,42685000
KTis,KOSPI,,2715,20,0.74,2695,2735,2680,77252,209223310,94487430000,34802000
LF,KOSPI,,18700,300,1.63,18450,18750,18350,58429,1083769750,546788000000,29240000
LG,KOSPI,,94300,-1000,-1.05,94200,95300,93700,193825,18237632600,14833483639900,157300993
LG디스플레이,KOSPI,,20550,50,0.24,20500,20800,20400,1720553,35355986550,7353112635000,357815700
LG생활건강,KOSPI,,1462000,1000,0.07,1466000,1468000,1442000,36822,53718874000,22833804014000,15618197
LG유플러스,KOSPI,,14450,400,2.85,14000,14450,14000,1597533,22795352750,6309034166450,436611361
LG이노텍,KOSPI,,217500,2500,1.16,218500,221500,216000,210023,45863698500,5147595772500,23667107
LG전자,KOSPI,,141000,-1000,-0.7,143000,143000,140000,758432,106970480500,23074341774000,163647814
LG헬로비전,KOSPI,,7860,70,0.9,7810,7930,7810,583728,4590960340,608732358900,77446865
LG화학,KOSPI,,721000,-37000,-4.88,763000,766000,721000,906907,666641683892,50897079303000,70592343
LIG넥스원,KOSPI,,52400,300,0.58,51600,53200,51200,209188,10940555000,1152800000000,22000000
LS,KOSPI,,66600,0,0.0,66500,67200,66400,46059,3074135800,2144520000000,32200000
LS네트웍스,KOSPI,,3930,30,0.77,3900,3940,3715,64301,249793790,309695852880,78803016
LX세미콘,KOSDAQ,우량기업부,118400,2900,2.51,116300,120300,114700,290235,34231324500,1925693120000,16264300
LX인터내셔널,KOSPI,,27750,0,0.0,27550,28000,27550,84287,2342899000,1075590000000,38760000
LX하우시스,KOSPI,,87900,-200,-0.23,87900,88600,87300,41903,3686775900,788258193000,8967670
MH에탄올,KOSPI,,9920,230,2.37,9700,9920,9670,51279,502259010,73194977920,7378526
NAVER,KOSPI,,445000,6000,1.37,442000,448500,436500,655075,290527529000,73097210775000,164263395
NH투자증권,KOSPI,,13300,50,0.38,13150,13300,13100,632399,8375795300,3742738197100,281408887
NICE,KOSPI,,18600,550,3.05,17950,18600,17950,57575,1053161600,704610780000,37882300
NICE평가정보,KOSDAQ,우량기업부,21400,200,0.94,21350,21700,21250,185620,3983544400,1299297148000,60714820
NI스틸,KOSPI,,4575,60,1.33,4500,4670,4495,123413,566568635,130845535275,28600117
PI첨단소재,KOSPI,,59500,700,1.19,59100,60700,58800,210409,12517458800,1747296159000,29366322
S-Oil,KOSPI,,92600,-2500,-2.63,94500,94500,92100,279536,25916095900,10425166539200,112582792
SBS,KOSPI,,49800,-900,-1.78,51100,51100,49400,214041,10649042600,908978583600,18252582
SGC에너지,KOSPI,,48200,1250,2.66,46950,48600,46800,69106,3318838000,707431592800,14677004
SG글로벌,KOSPI,,2680,-10,-0.37,2675,2700,2650,114727,307096450,120503903240,44964143
SG세계물산,KOSPI,,764,14,1.87,750,765,745,472012,357616585,154652669440,202424960
SHD,KOSPI,,32300,800,2.54,31850,32300,31200,13814,440289900,39240559400,1214878
SH에너지화학,KOSPI,,1060,35,3.41,1025,1065,1025,823215,865099710,117801753800,111133730
SIMPAC,KOSPI,,7900,1280,19.34,6540,8170,6540,10846041,84001687480,516893176400,65429516
SK,KOSPI,,263500,0,0.0,263000,266000,261000,204964,53980079000,18539938259500,70360297
SKC,KOSPI,,156000,-3500,-2.19,159500,160000,155000,295119,46225073500,5907454488000,37868298
SK가스,KOSPI,,119500,0,0.0,119500,120500,119000,8996,1078276000,1103014158000,9230244
SK네트웍스,KOSPI,,5550,-10,-0.18,5550,5620,5540,481788,2680688240,1377441440850,248187647
SK디스커버리,KOSPI,,48650,750,1.57,47900,48800,47750,67865,3282665250,926191645750,19037855
