종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수,연도,분기
AJ네트웍스,KOSPI,,4055,-35,-0.86,4175,4215,3990,131327,532500885,189864406225,46822295,2020,Q1
AJ네트웍스,KOSPI,,3690,-55,-1.47,3800,3800,3610,103221,377445980,172774268550,46822295,2020,Q2
AJ네트웍스,KOSPI,,3135,5,0.16,3180,3180,3110,53909,168451015,146787894825,46822295,2020,Q3
AJ네트웍스,KOSPI,,4460,-70,-1.55,4560,4560,4445,208335,934171210,208827435700,46822295,2020,Q4
AJ네트웍스,KOSPI,,3970,85,2.19,3885,3995,3885,48112,190114630,185884511150,46822295,2021,Q1
AJ네트웍스,KOSPI,,5780,-140,-2.36,5860,5940,5750,63836,371440050,270632865100,46822295,2021,Q2
AJ네트웍스,KOSPI,,5980,70,1.18,5910,5990,5840,107862,637395400,279997324100,46822295,2021,Q3
AJ네트웍스,KOSPI,,5380,30,0.56,5300,5380,5170,72085,381774050,251903947100,46822295,2021,Q4
AJ네트웍스,KOSPI,,5480,130,2.43,5410,5490,5370,33942,184593780,256586176600,46822295,2022,Q1
AJ네트웍스,KOSPI,,7150,180,2.58,7000,7700,6870,2505375,18649803910,334779409250,46822295,2022,Q2
AJ네트웍스,KOSPI,,7200,-200,-2.7,7370,7370,7100,107137,774059800,337120524000,46822295,2022,Q3
AJ네트웍스,KOSPI,,6100,-10,-0.16,6140,6190,6040,79874,487901320,285615999500,46822295,2022,Q4
AJ네트웍스,KOSPI,,5200,-130,-2.44,5340,5360,5150,458634,2391102900,243475934000,46822295,2023,Q1
AJ네트웍스,KOSPI,,4300,45,1.06,4300,4320,4255,97141,416502485,201335868500,46822295,2023,Q2
AJ네트웍스,KOSPI,,4270,130,3.14,4220,4455,4220,750043,3259404390,199931199650,46822295,2023,Q3
AJ네트웍스,KOSPI,,4505,185,4.28,4350,4530,4305,370243,1654213940,203863679295,45252759,2023,Q4
AJ네트웍스,KOSPI,,4635,-75,-1.59,4710,4800,4615,90067,419750735,209746537965,45252759,2024,Q1
AJ네트웍스,KOSPI,,4835,10,0.21,4830,4860,4795,116202,559744035,218797089765,45252759,2024,Q2
AJ네트웍스,KOSPI,,4565,-60,-1.3,4630,4630,4550,51042,233869235,206578844835,45252759,2024,Q3
AJ네트웍스,KOSPI,,4635,-80,-1.7,4685,4690,4565,91792,422842980,209746537965,45252759,2024,Q4
