컬럼_1,컬럼_2,컬럼_3,컬럼_4,컬럼_5,컬럼_6,컬럼_7,컬럼_8,컬럼_9,컬럼_10,컬럼_11,컬럼_12
AJ네트웍스,B,D,B,B,-,-,-,-,-,,
AK홀딩스,B+,C,B+,B+,-,-,-,-,-,,
BGF,B+,B,A,B+,-,-,-,-,-,,
BGF리테일,A,B+,B+,A,-,-,-,BB,-,,
BNK금융지주,A+,B+,A+,A+,-,-,-,-,-,,
BYC,B,D,B,B+,-,-,-,-,-,,
CJ,A,B,A,A,-,-,-,BBB,-,,
CJ CGV,A,B,A,A,-,-,-,-,-,,
CJ대한통운,A,A,B,A,-,-,-,B,-,,
CJ씨푸드,B,C,B+,B+,-,-,-,-,-,,
CJ제일제당,A,A,A+,A,-,-,-,A,-,,
CS홀딩스,C,D,C,B,-,-,-,-,-,,
DB,B,D,B,B,-,-,-,-,-,,
DB금융투자,B,D,A,B,-,-,-,-,-,,
DB손해보험,B+,A,A,B+,-,-,-,BBB,-,,
DB하이텍,B+,B+,A,B+,-,-,-,-,-,,
DGB금융지주,A+,A,A+,A+,-,-,-,-,-,,
DL,B+,A,B+,B+,-,-,-,-,-,,
DL건설,B,B,B+,B,-,-,-,-,-,,
DN오토모티브,B,B,C,B,-,-,-,-,-,,
CJ제일제당,A,A,A+,A,-,-,-,A,-,,
CS홀딩스,C,D,C,B,-,-,-,-,-,,
DB,B,D,B,B,-,-,-,-,-,,
DB금융투자,B,D,A,B,-,-,-,-,-,,
DB손해보험,B+,A,A,B+,-,-,-,BBB,-,,
DB하이텍,B+,B+,A,B+,-,-,-,-,-,,
DGB금융지주,A+,A,A+,A+,-,-,-,-,-,,
DL,B+,A,B+,B+,-,-,-,-,-,,
DL건설,B,B,B+,B,-,-,-,-,-,,
DN오토모티브,B,B,C,B,-,-,-,-,-,,
DRB동일,B,B,B,B,-,-,-,-,-,,
DSR,C,B,B,C,-,-,-,-,-,,
DSR제강,C,C,B,C,-,-,-,-,-,,
E1,B,C,A,B+,-,-,-,-,-,,
F&F 홀딩스,D,D,C,C,-,-,-,-,-,,
GKL,B+,C,A,A,-,-,-,-,-,,
GS,B+,C,A,A,-,-,-,BBB,-,,
GS건설,A,A,B+,A,-,-,-,BBB,-,,
GS글로벌,B,D,B+,B+,-,-,-,-,-,,
GS리테일,B,C,B,B+,-,-,-,BB,-,,
HDC,B+,C,B+,B+,-,-,-,-,-,,
HDC랩스,C,D,C,B,-,-,-,-,-,,
HDC현대EP,B,B,B+,B,-,-,-,-,-,,
HDC현대산업개발,C,C,C,B+,-,-,-,-,-,,
HD한국조선해양,B+,B+,C,A,-,-,-,CCC,-,,
HD현대,A,B+,A,A,-,-,-,BB,-,,
HD현대건설기계,A,B+,A,A,-,-,-,-,-,,
HD현대마린엔진,B,C,B+,B+,-,-,-,-,-,,
HD현대미포,A,A,A+,A,-,-,-,-,-,,
HD현대인프라코어,A,A,A+,A,-,-,-,-,-,,
HD현대일렉트릭,A,A,A+,A,-,-,-,-,-,,
HJ중공업,B,B,B,B+,-,-,-,-,-,,
HL D&I,B+,B,B+,B+,-,-,-,-,-,,
HLB글로벌,C,D,B,C,-,-,-,-,-,,
HL만도,A,A,A+,A,-,-,-,-,-,,
HL홀딩스,B+,B,B+,A,-,-,-,-,-,,
HMM,A,A,A+,A,-,-,-,-,-,,
HS애드,B,D,B+,B+,-,-,-,-,-,,
HS화성,B,C,B,B+,-,-,-,-,-,,
HS효성첨단소재,A+,A+,A+,A,-,-,-,-,-,,
JB금융지주,A+,A,A,A+,-,-,-,-,-,,
JW생명과학,B+,B+,B+,B+,-,-,-,-,-,,
JW중외제약,B,B,B+,B,-,-,-,-,-,,
JW홀딩스,B+,C,B+,B+,-,-,-,-,-,,
KB금융,A+,A+,A+,A+,-,-,-,A,-,,
KC그린홀딩스,B,B,B+,B,-,-,-,-,-,,
KC코트렐,B,B,B,B,-,-,-,-,-,,
KEC,B,B+,B+,C,-,-,-,-,-,,
KG모빌리티,B+,B+,B,B+,-,-,-,-,-,,
KG스틸,B,B,B+,B,-,-,-,-,-,,
KG케미칼,D,C,C,D,-,-,-,-,-,,
KH 필룩스,C,C,B,B,-,-,-,-,-,,
KIB플러그에너지,C,B,C,C,-,-,-,-,-,,
KISCO홀딩스,C,B,B,C,-,-,-,-,-,,
KPX케미칼,B,B,C,B,-,-,-,-,-,,
KPX홀딩스,C,C,C,B,-,-,-,-,-,,
KR모터스,C,D,C,B,-,-,-,-,-,,
KSS해운,B+,B,B+,B+,-,-,-,-,-,,
KTcs,B,D,B+,B+,-,-,-,-,-,,
KTis,B,D,B+,B+,-,-,-,-,-,,
LF,B,D,B,B+,-,-,-,-,-,,
LG,A,B+,A+,B+,-,-,-,BBB,-,,
LG디스플레이,B+,B,A,B+,-,-,-,A,-,,
LG생활건강,A,A,A+,A,-,-,-,A,-,,
LG유플러스,B,B+,B+,B,-,-,-,BB,-,,
LG이노텍,A,A,A+,B+,-,-,-,BBB,-,,
LG전자,B+,A,A+,B,-,-,-,A,-,,
LG헬로비전,B+,D,B+,A,-,-,-,-,-,,
LG화학,B,C,A,B+,-,-,-,BB,-,,
LIG넥스원,A,B+,A,A,-,-,-,-,-,,
LS,B+,B,B+,A,-,-,-,-,-,,
LS네트웍스,B,D,B+,B,-,-,-,-,-,,
LS에코에너지,B,D,C,B+,-,-,-,-,-,,
LX세미콘,B,C,B+,B+,-,-,-,-,-,,
LX인터내셔널,A,A,A+,A,-,-,-,-,-,,
LX하우시스,A,A,A+,A,-,-,-,-,-,,
MH에탄올,B,C,B,B+,-,-,-,-,-,,
