회사명,종합등급,환경,사회,지배구조,연도
AJ네트웍스,B,D,B,B,2020
AJ네트웍스,B,D,B,B,2021
AJ네트웍스,B+,C,B+,B+,2022
AJ네트웍스,B,D,B,B,2023
AJ네트웍스,B+,C,A,B+,2024
AK홀딩스,B+,C,B+,B+,2020
AK홀딩스,B+,B,B+,B+,2021
AK홀딩스,B+,B,A,B,2022
AK홀딩스,B+,B,B+,B+,2023
AK홀딩스,A,A,A+,B+,2024
BGF,B+,B,A,B+,2020
BGF,A,A,A+,A,2021
BGF,B+,A,A+,B,2022
BGF,A,A,A+,A,2023
BGF,A,A,A+,B+,2024
BGF리테일,A,B+,B+,A,2020
BGF리테일,A,A,A+,A,2021
BGF리테일,A,A,A+,A,2022
BGF리테일,A,A,A+,A,2023
BGF리테일,A,A,A+,A,2024
BNK금융지주,A+,B+,A+,A+,2020
BNK금융지주,A+,A,A+,A+,2021
BNK금융지주,A,A,A,A,2022
BNK금융지주,A+,A,A+,A+,2023
BNK금융지주,A,A,A+,A,2024
BYC,B,D,B,B+,2020
BYC,B,D,B,B+,2021
BYC,D,D,D,D,2022
BYC,B,D,B,B+,2023
BYC,D,D,D,D,2024
CJ,A,B,A,A,2020
CJ,A,B+,A+,A,2021
CJ,B+,B+,A,B+,2022
CJ,A,B+,A+,A,2023
CJ,A,A,A+,B+,2024
CJ CGV,A,B,A,A,2020
CJ CGV,A,B,A,A,2021
CJ CGV,B+,B,B+,B+,2022
CJ CGV,A,B,A,A,2023
CJ CGV,A,A,A+,B+,2024
CJ대한통운,A,A,B,A,2020
CJ대한통운,A,A,A+,A,2021
CJ대한통운,B+,B+,A+,B,2022
CJ대한통운,A,A,A+,A,2023
CJ대한통운,A,A,A+,B+,2024
CJ씨푸드,B,C,B+,B+,2020
CJ씨푸드,B,C,B+,B+,2021
CJ씨푸드,B,C,B,B,2022
CJ씨푸드,B,C,B+,B+,2023
CJ씨푸드,B+,B+,A,B,2024
CJ제일제당,A,A,A+,A,2020
CJ제일제당,A,A,A+,A,2021
CJ제일제당,A,A,A+,A,2021
CJ제일제당,A,A,A,B+,2022
