종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","2920","30","1.04","2890","2970","2885","166690","487455970","135112817960","46271513"
"095570","AJ네트웍스","KOSPI",,"5780","-140","-2.36","5860","5940","5750","63836","371440050","270632865100","46822295"
"006840","AK홀딩스","KOSPI",,"34400","-1000","-2.82","35500","35600","34150","103691","3580613850","455716098400","13247561"
"054620","APS홀딩스","KOSDAQ","중견기업부","14950","350","2.40","14600","14950","13800","462544","6605258500","304893603950","20394221"
"265520","AP시스템","KOSDAQ","우량기업부","29050","-50","-0.17","29150","29150","28800","131987","3831133400","420650594350","14480227"
"211270","AP위성","KOSDAQ","벤처기업부","16100","800","5.23","15300","16100","14950","623179","9820027050","242825094400","15082304"
"027410","BGF","KOSPI",,"7050","30","0.43","7020","7150","7000","345706","2438078760","674803376550","95716791"
"282330","BGF리테일","KOSPI",,"184000","2500","1.38","182500","188500","181500","39293","7234372000","3180238704000","17283906"
"138930","BNK금융지주","KOSPI",,"7990","40","0.50","7940","8000","7890","1299625","10347296750","2604222615540","325935246"
"001460","BYC","KOSPI",,"448000","14500","3.34","434500","498500","434500","4533","2088211000","279827520000","624615"
"001465","BYC우","KOSPI",,"193500","6000","3.20","194000","194500","189000","629","121100500","41676997500","215385"
"001040","CJ","KOSPI",,"114500","0","0.00","115000","118000","114500","221664","25727803500","3340766271000","29176998"
"079160","CJ CGV","KOSPI",,"33100","-350","-1.05","33550","34000","32700","950431","31454040150","1161810000000","35100000"
"035760","CJ ENM","KOSDAQ","우량기업부","165400","100","0.06","167200","169400","163700","297768","49328361800","3627082071600","21929154"
"00104K","CJ4우(전환)","KOSPI",,"92000","800","0.88","91200","92400","90200","7240","664335500","388839104000","4226512"
"000120","CJ대한통운","KOSPI",,"169500","-500","-0.29","170000","170500","168500","46783","7916875000","3866692308000","22812344"
"011150","CJ씨푸드","KOSPI",,"4820","105","2.23","4750","4880","4715","1188132","5716242365","173186325860","35930773"
"011155","CJ씨푸드1우","KOSPI",,"44350","-50","-0.11","44800","44800","43800","1333","58735100","8870000000","200000"
"001045","CJ우","KOSPI",,"66700","300","0.45","66400","67800","66300","3993","267258600","150756874100","2260223"
"097950","CJ제일제당","KOSPI",,"485500","-3000","-0.61","489500","491000","476000","57895","27917892500","7308807303000","15054186"
"097955","CJ제일제당 우","KOSPI",,"223000","-1000","-0.45","224000","224500","219500","6274","1391265000","296017559000","1327433"
"051500","CJ프레시웨이","KOSDAQ","중견기업부","32000","-600","-1.84","32700","33500","31750","164793","5357471200","379890752000","11871586"
"058820","CMG제약","KOSDAQ","우량기업부","4605","-35","-0.75","4640","4645","4560","752210","3458696095","639598783620","138892244"
